Source,Target,Type,Id,Label,Weight
0,21,Undirected,0,,1
0,20,Undirected,1,,1
0,19,Undirected,2,,1
0,18,Undirected,3,,1
0,17,Undirected,4,,1
0,16,Undirected,5,,1
0,15,Undirected,6,,1
0,13,Undirected,7,,1
0,27,Undirected,8,,1
23,20,Undirected,9,,1
23,13,Undirected,10,,1
23,27,Undirected,11,,1
23,21,Undirected,12,,1
23,22,Undirected,13,,1
29,20,Undirected,14,,1
29,22,Undirected,15,,1
24,15,Undirected,16,,1
24,14,Undirected,17,,1
24,28,Undirected,18,,1
25,22,Undirected,19,,1
25,21,Undirected,20,,1
25,20,Undirected,21,,1
25,13,Undirected,22,,1
26,21,Undirected,23,,1
26,20,Undirected,24,,1
26,13,Undirected,25,,1
26,15,Undirected,26,,1
26,14,Undirected,27,,1
26,17,Undirected,28,,1
