Source,Target,Type,Id,Label,Weight
Carne de Panela,óleo,Undirected,0,,1
Carne de Panela,alho granulado,Undirected,1,,1
Carne de Panela,cebola ralada,Undirected,2,,1
Carne de Panela,coxão mole em bifes,Undirected,3,,1
Carne de Panela,cenoura picada,Undirected,4,,1
Carne de Panela,pimentão picado,Undirected,5,,1
Carne de Panela,massa de tomate,Undirected,6,,1
Carne de Panela,tomate sem sementes picado,Undirected,7,,1
Carne de Panela,pimenta-do-reino,Undirected,8,,1
Carne de Panela,orégano,Undirected,9,,1
Carne de Panela,sal,Undirected,10,,1
Carne de Panela,água,Undirected,11,,1
Carne de Panela,salsa desidratada,Undirected,12,,1
óleo,Sanduíche de Rabada,Undirected,13,,1
óleo,Carne Moída Simples,Undirected,14,,1
óleo,Picadinho de Carne Simples,Undirected,15,,1
óleo,Bife à Parmegiana,Undirected,16,,1
óleo,Coxinha de Frango com Catupiri,Undirected,17,,1
óleo,Peixe à Delícia,Undirected,18,,1
óleo,Torta de Liquidificador de Legumes,Undirected,19,,1
óleo,Canja de Galinha Nutritiva,Undirected,20,,1
óleo,Coxinha Simples,Undirected,21,,1
óleo,Croquete de Carne,Undirected,22,,1
óleo,Bolo de Cenoura com Cobertura de Brigadeiro,Undirected,23,,1
óleo,Bolo de Fubá com Compota de Goiaba,Undirected,24,,1
óleo,Bolinho de Chuva,Undirected,25,,1
óleo,Farofa de Banana-da-Terra,Undirected,26,,1
cebola ralada,Picadinho de Carne Simples,Undirected,27,,1
pimenta-do-reino,Sanduíche de Rabada,Undirected,28,,1
pimenta-do-reino,Maminha na Cerveja Preta,Undirected,29,,1
pimenta-do-reino,Picadinho de Carne Simples,Undirected,30,,1
pimenta-do-reino,Lasanha de Frango com Queijo,Undirected,31,,1
pimenta-do-reino,Torta de Frango Gratinada,Undirected,32,,1
pimenta-do-reino,Strogonoff de Frango,Undirected,33,,1
pimenta-do-reino,Bobó de Frango,Undirected,34,,1
pimenta-do-reino,Torta de Frango de Liquidificador,Undirected,35,,1
pimenta-do-reino,Empadinha de Frango,Undirected,36,,1
pimenta-do-reino,Frango com Quiabo,Undirected,37,,1
pimenta-do-reino,Petisco de Peixe,Undirected,38,,1
pimenta-do-reino,Isca de Peixe,Undirected,39,,1
pimenta-do-reino,Falsa Bacalhoada,Undirected,40,,1
pimenta-do-reino,Peixe ao Forno com Legumes,Undirected,41,,1
pimenta-do-reino,Filé de Peixe ao Forno,Undirected,42,,1
pimenta-do-reino,Bobó de Camarão,Undirected,43,,1
pimenta-do-reino,Bacalhoada,Undirected,44,,1
pimenta-do-reino,Quibe de Abóbora,Undirected,45,,1
pimenta-do-reino,Torta de Liquidificador de Legumes,Undirected,46,,1
pimenta-do-reino,Sopa de Tomate com Manjericão,Undirected,47,,1
pimenta-do-reino,Croquete de Carne,Undirected,48,,1
pimenta-do-reino,Farofa de Banana-da-Terra,Undirected,49,,1
orégano,Bife à Parmegiana,Undirected,50,,1
orégano,Lombo Assado,Undirected,51,,1
orégano,Salada de Macarrão com Atum e Maionese,Undirected,52,,1
orégano,Salada de Maionese Simples,Undirected,53,,1
orégano,Caldo Verde,Undirected,54,,1
sal,Carne Louca de Festa,Undirected,55,,1
sal,Sanduíche de Rabada,Undirected,56,,1
sal,Maminha na Cerveja Preta,Undirected,57,,1
sal,Costela na Panela de Pressão,Undirected,58,,1
sal,Escondidinho com Carne Seca,Undirected,59,,1
sal,Picadinho de Carne Simples,Undirected,60,,1
sal,Bife à Parmegiana,Undirected,61,,1
sal,Lombo Assado,Undirected,62,,1
sal,Lasanha de Frango com Queijo,Undirected,63,,1
sal,Coxinha de Frango com Catupiri,Undirected,64,,1
sal,Torta de Frango Gratinada,Undirected,65,,1
sal,Strogonoff de Frango,Undirected,66,,1
sal,Bobó de Frango,Undirected,67,,1
sal,Fricassê de Frango Fácil,Undirected,68,,1
sal,Salpicão de Frango,Undirected,69,,1
sal,Torta de Frango de Liquidificador,Undirected,70,,1
sal,Frango Xadrez,Undirected,71,,1
sal,Empadinha de Frango,Undirected,72,,1
sal,Frango Assado com Batatas (simples),Undirected,73,,1
sal,Frango à Passarinho de Forno,Undirected,74,,1
sal,Frango com Quiabo,Undirected,75,,1
sal,Frango Assado com Laranja,Undirected,76,,1
sal,Petisco de Peixe,Undirected,77,,1
sal,Isca de Peixe,Undirected,78,,1
sal,Falsa Bacalhoada,Undirected,79,,1
sal,Peixe ao Forno com Legumes,Undirected,80,,1
sal,Salmão ao Molho de Alcaparras,Undirected,81,,1
sal,Bobó de Camarão,Undirected,82,,1
sal,Bacalhoada,Undirected,83,,1
sal,Moqueca de Peixe com Pirão,Undirected,84,,1
sal,Peixe à Delícia,Undirected,85,,1
sal,Quibe de Abóbora,Undirected,86,,1
sal,Moqueca de Banana-da-Terra,Undirected,87,,1
sal,Feijoada Vegetariana,Undirected,88,,1
sal,Arroz de Couve-Flor,Undirected,89,,1
sal,Torta de Liquidificador de Legumes,Undirected,90,,1
sal,Ratatouille no Forno,Undirected,91,,1
sal,Salada de Grão de Bico e Atum,Undirected,92,,1
sal,Salada de Macarrão com Atum e Maionese,Undirected,93,,1
sal,Salada de Maionese Simples,Undirected,94,,1
sal,Salada Caesar,Undirected,95,,1
sal,Salada Colorida,Undirected,96,,1
sal,Cuscuz Marroquino com Legumes,Undirected,97,,1
sal,Sopa de Mandioquinha com Carne Seca,Undirected,98,,1
sal,Sopa de Abóbora com Gengibre,Undirected,99,,1
sal,Sopa de Cebola,Undirected,100,,1
sal,Sopa de Tomate com Manjericão,Undirected,101,,1
sal,Pão de Queijo de Liquidificador,Undirected,102,,1
sal,Coxinha Simples,Undirected,103,,1
sal,Esfiha Aberta Tipo Habib's,Undirected,104,,1
sal,Croquete de Carne,Undirected,105,,1
sal,Bolo de Fubá com Compota de Goiaba,Undirected,106,,1
sal,Farofa de Banana-da-Terra,Undirected,107,,1
água,Sanduíche de Rabada,Undirected,108,,1
água,Carne Moída Simples,Undirected,109,,1
água,Picadinho de Carne Simples,Undirected,110,,1
água,Coxinha de Frango com Catupiri,Undirected,111,,1
água,Gratinado de Frango,Undirected,112,,1
água,Torta de Frango de Liquidificador,Undirected,113,,1
água,Frango Xadrez,Undirected,114,,1
água,Bobó de Camarão,Undirected,115,,1
