Source,Target,Type,Id,Label,Weight
Empadão de Frango,caldo de galinha,Undirected,0,,1
Costela na Panela de Pressão,bacon sem pele,Undirected,1,,1
Lasanha de Berinjela,catupiry,Undirected,2,,1
Bobó de Frango,tomate sem pele,Undirected,3,,1
Caldo Verde,couve-manteiga,Undirected,4,,1
Bolo de Cenoura com Cobertura de Brigadeiro,chocolate em pó,Undirected,5,,1
Moqueca de Peixe,tomate em rodelas,Undirected,6,,1
Picadinho de Carne Simples,vinho tinto,Undirected,7,,1
Canja de Galinha Nutritiva,abobrinha ralada,Undirected,8,,1
Ratatouille no Forno,tomate,Undirected,9,,1
Feijoada Vegetariana,proteína de soja grossa,Undirected,10,,1
Salada Colorida,tomate sweet grape,Undirected,11,,1
Sopa de Tomate com Manjericão,sal,Undirected,12,,1
Falsa Bacalhoada,filé de merluza,Undirected,13,,1
Sopa de Capeletti,queijo parmesão ralado,Undirected,14,,1
Torta de Liquidificador de Legumes,cebolinha,Undirected,15,,1
Bolo de Fubá com Compota de Goiaba,açúcar cristal,Undirected,16,,1
Lasanha de Berinjela,presunto fatiado,Undirected,17,,1
Sopa de Feijão com Macarrão,feijão cozido,Undirected,18,,1
Empadinha de Frango,noz-moscada,Undirected,19,,1
Empadinha de Frango,ovos,Undirected,20,,1
Esfiha Aberta Tipo Habib's,fermento biológico seco,Undirected,21,,1
Torta de Frango Gratinada,colorau,Undirected,22,,1
Salpicão de Frango,maionese,Undirected,23,,1
Salada Colorida,beterraba,Undirected,24,,1
Torta de Frango Gratinada,água gelada,Undirected,25,,1
Carne Louca de Festa,molho de tomate pronto,Undirected,26,,1
Bife à Parmegiana,queijo mussarela,Undirected,27,,1
Maminha na Cerveja Preta,maminha,Undirected,28,,1
Pão de Alho Caseiro,margarina,Undirected,29,,1
Bolo de Fubá com Compota de Goiaba,canela,Undirected,30,,1
Fricassê de Frango Fácil,batata palha,Undirected,31,,1
Lasanha de Frango com Queijo,massa de lasanha,Undirected,32,,1
Frango com Quiabo,limões,Undirected,33,,1
Empadão de Frango,cheiro-verde,Undirected,34,,1
Torta de Frango Gratinada,tomilho,Undirected,35,,1
Tofu com Broa,levedura de cerveja,Undirected,36,,1
Pão de Queijo de Liquidificador,polvilho doce,Undirected,37,,1
Cuscuz Marroquino com Legumes,vagem holandesa,Undirected,38,,1
Mousse de Chocolate Vegano,melado de cana,Undirected,39,,1
Quibe de Abóbora,abóbora moranga,Undirected,40,,1
Moqueca de Peixe,postas de cação ou garoupa,Undirected,41,,1
Bacalhoada,sal,Undirected,42,,1
Esfiha Aberta Tipo Habib's,açúcar refinado,Undirected,43,,1
