source,target,weight
Frango à Passarinho de Forno,Bobó de Frango,3
Frango à Passarinho de Forno,Frango Assado com Laranja,2
Frango à Passarinho de Forno,Escondidinho com Carne Seca,2
Frango à Passarinho de Forno,Torta de Frango Gratinada,4
Frango à Passarinho de Forno,Arroz de Couve-Flor,2
Frango à Passarinho de Forno,Sopa de Cebola,3
Frango à Passarinho de Forno,Salada Caesar,3
Frango à Passarinho de Forno,Salada de Maionese Simples,1
Frango à Passarinho de Forno,Salmão ao Molho de Alcaparras,4
Frango à Passarinho de Forno,Pão de Queijo de Liquidificador,1
Frango à Passarinho de Forno,Salada de Grão de Bico e Atum,3
Frango à Passarinho de Forno,Strogonoff de Frango,2
Frango à Passarinho de Forno,Frango Xadrez,1
Frango à Passarinho de Forno,Lasanha de Frango com Queijo,2
Frango à Passarinho de Forno,Torta de Limão Clássica com Merengue,1
Frango à Passarinho de Forno,Moqueca de Peixe com Pirão,3
Frango à Passarinho de Forno,Bife à Parmegiana,2
Frango à Passarinho de Forno,Peixe ao Forno com Legumes,2
Frango à Passarinho de Forno,Carne Louca de Festa,3
Frango à Passarinho de Forno,Coxinha de Frango com Catupiri,3
Frango à Passarinho de Forno,Empadinha de Frango,4
Frango à Passarinho de Forno,Lasanha de Berinjela,1
Frango à Passarinho de Forno,Quibe de Abóbora,3
Frango à Passarinho de Forno,Petisco de Peixe,3
Frango à Passarinho de Forno,Frango Assado com Batatas (simples),2
Frango à Passarinho de Forno,Torta de Frango de Liquidificador,2
Frango à Passarinho de Forno,Coxinha Simples,3
Frango à Passarinho de Forno,Fricassê de Frango Fácil,2
Frango à Passarinho de Forno,Torta de Liquidificador de Legumes,3
Frango à Passarinho de Forno,Lombo Assado,2
Frango à Passarinho de Forno,Sopa de Abóbora com Gengibre,1
Frango à Passarinho de Forno,Salada de Macarrão com Atum e Maionese,1
Frango à Passarinho de Forno,Sopa de Mandioquinha com Carne Seca,1
Frango à Passarinho de Forno,Esfiha Aberta Tipo Habib's,3
Frango à Passarinho de Forno,Picadinho de Carne Simples,2
Frango à Passarinho de Forno,Bolinho de Chuva,1
Frango à Passarinho de Forno,Bacalhoada,2
Frango à Passarinho de Forno,Sopa de Tomate com Manjericão,3
Frango à Passarinho de Forno,Tofu com Broa,2
Frango à Passarinho de Forno,Maminha na Cerveja Preta,2
Frango à Passarinho de Forno,Bobó de Camarão,3
Frango à Passarinho de Forno,Feijoada Vegetariana,2
Frango à Passarinho de Forno,Salada Colorida,2
Frango à Passarinho de Forno,Bolo de Cenoura com Cobertura de Brigadeiro,1
Frango à Passarinho de Forno,Carne de Panela,1
Frango à Passarinho de Forno,Sanduíche de Rabada,1
Frango à Passarinho de Forno,Empadão de Frango,2
Frango à Passarinho de Forno,Frango com Quiabo,3
Frango à Passarinho de Forno,Costela na Panela de Pressão,1
Frango à Passarinho de Forno,Farofa de Banana-da-Terra,1
Frango à Passarinho de Forno,Croquete de Carne,3
Frango à Passarinho de Forno,Moqueca de Banana-da-Terra,3
Frango à Passarinho de Forno,Isca de Peixe,1
Frango à Passarinho de Forno,Peixe à Delícia,2
Frango à Passarinho de Forno,Cuscuz Marroquino com Legumes,2
Frango à Passarinho de Forno,Caldo Verde,1
Frango à Passarinho de Forno,Salpicão de Frango,2
Frango à Passarinho de Forno,Gratinado de Frango,1
Frango à Passarinho de Forno,Falsa Bacalhoada,2
Frango à Passarinho de Forno,Bolo de Fubá com Compota de Goiaba,2
Frango à Passarinho de Forno,Ratatouille no Forno,3
Frango à Passarinho de Forno,Filé de Peixe ao Forno,3
Bobó de Frango,Frango Assado com Laranja,1
Bobó de Frango,Escondidinho com Carne Seca,3
Bobó de Frango,Torta de Frango Gratinada,5
Bobó de Frango,Arroz de Couve-Flor,2
Bobó de Frango,Sopa de Cebola,2
Bobó de Frango,Salada Caesar,5
Bobó de Frango,Salada de Maionese Simples,1
Bobó de Frango,Salmão ao Molho de Alcaparras,3
Bobó de Frango,Pão de Queijo de Liquidificador,1
Bobó de Frango,Salada de Grão de Bico e Atum,2
Bobó de Frango,Strogonoff de Frango,5
Bobó de Frango,Frango Xadrez,2
Bobó de Frango,Lasanha de Frango com Queijo,2
Bobó de Frango,Moqueca de Peixe com Pirão,6
